RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,22,20,2,
4,BlockOG,25,21,4,
5,UnsignedRobin,34,24,10,
60,沈逍遥(Q群746497406),34,20,14,
126,hungcat,35,23,12,
130,Kedesiklem,35,25,10,
144,orangesnowfox,36,22,14,
145,slowwalker,36,26,10,
146,UltraPeeks,36,24,12,
168,hirosem,37,21,16,
187,climb4life,37,25,12,
215,nabla,37,27,10,
276,gary,38,28,10,
277,Y-32,39,29,10,
279,"IA_BOT(""MainFastSolve.rom"")",40,30,10,
294,DeltaSlev,40,22,18,
295,gmbh34,41,29,12,
299,Matej\_Drahovsky,41,27,14,
301,SamsonTheCat81,42,26,16,
302,thanis80,42,24,18,
306,Zarsatha,42,30,12,
309,Innuen Doe,42,28,14,
312,Samusbot,43,27,16,
333,Quattro,43,33,10,
398,Ox,43,31,12,
403,Megacrafter127,44,28,16,
404,PhiliPdB,44,32,12,
410,Dorcas,45,29,16,
411,TehCranium,45,33,12,
415,super_craft_alex,46,28,18,
416,Karechta,46,30,16,
417,ottar.moe,47,29,18,
419,vanilkovy.puding *****,47,33,14,
434,tyt23333,47,31,16,
436,Braxbro,47,35,12,
438,potato,48,32,16,
439,Alex,48,34,14,
440,SuperFluffyGame,48,30,18,
463,四维汉堡包,48,36,12,
468,base,49,31,18,
470,Muarf,49,33,16,
471,Kertox662,49,37,12,
472,Slim Pickens,49,35,14,
474,henvaen6,50,34,16,
483,zuiemimi,50,38,12,
489,olorin3125,50,32,18,
501,CodeZ,51,39,12,
504,matinnate,51,37,14,
507,Alcyr,51,41,10,
510,hailzzee,51,35,16,
515,cerealandsandwiches,52,38,14,
516,Beemer,52,32,20,
518,N!clas,52,34,18,
578,FakeNeo,53,35,18,
598,Furan867,53,47,6,
607,lezeroq,53,37,16,
609,Tsukina_7mochi,54,36,18,
612,BierLiebHaber,54,40,14,
634,牛百叶,54,48,6,
638,jekill\_77,54,38,16,
651,TL Aevro,54,42,12,
686,Sh1ny_D3m0n,55,35,20,
688,Freddy,56,36,20,
689,nicholas.sommer,56,42,14,
690,卡达,56,38,18,
692,MatthewC21C,56,44,12,
696,Nekiritan,57,39,18,
697,wcr1996,57,37,20,
700,穴子,57,43,14,
701,hashedone,58,38,20,
702,MJE10,58,40,18,
707,nakphord,58,42,16,
708,Dennyout65,59,39,20,
709,Razhan,59,41,18,
748,Starfish Parade,59,43,16,
830,Laurent Decroissant,60,40,20,
831,Touffy,60,44,16,
833,SpindleWick,60,42,18,
861,之鱼,60,38,22,
865,white-gandalf,60,50,10,
872,AiK,61,43,18,
874,mekb the turtle,61,41,20,
875,masonofdesaster,61,49,12,
883,Niyudi,62,42,20,
884,satanic0258,62,40,22,
887,Cow Tools,62,50,12,
888,vix,62,56,6,
890,Ajota999,62,32,30,
891,Mine28Runner,62,44,18,
897,ó ‡°,63,43,20,
898,Bram1999999,63,49,14,
903,LukaszBro,63,27,36,
911,jog\_ming,63,51,12,
912,rusto,63,45,18,
914,spike,63,47,16,
919,Keranis,64,48,16,
920,Amidamaru,64,46,18,
921,璜珀,64,44,20,
924,Dicker Lachs,64,50,14,
928,Anti-tank rifle,65,49,16,
929,fnuttall,65,47,18,
931,Will,66,46,20,
933,TOM羊,66,50,16,
934,Zebadiah,67,27,40,
935,TerraFormer,67,45,22,
937,TileCat1,67,47,20,
942,the dub,67,49,18,
947,bmarvinb,68,48,20,
949,theo0907,68,50,18,
956,animeme\_master,68,52,16,
957,treasere,68,56,12,
961,ierdna100,69,47,22,
966,Slowly,69,53,16,
983,happy2onion,69,49,20,
984,lxjie1146,69,55,14,
998,怎么这么卡,69,51,18,
999,sallinjolan,69,35,34,
1000,w18936784248,70,50,20,
